Update and security,Launch Security Key Enrollment,ms-settings:signinoptions-launchsecuritykeyenrollment,key
Update and security,Troubleshoot,ms-settings:troubleshoot,tool
Update and security,Windows Security,ms-settings:windowsdefender,shield
Update and security,Windows Insider Program,ms-settings:windowsinsider,brand-windows
Windows Update,Windows Update,ms-settings:windowsupdate,brand-windows
Windows Update,Active hours,ms-settings:windowsupdate-activehours,brand-windows
Windows Update,Advanced options,ms-settings:windowsupdate-options,brand-windows
Windows Update,Optional updates,ms-settings:windowsupdate-optionalupdates,brand-windows
Windows Update,Restart options,ms-settings:windowsupdate-restartoptions,brand-windows
Windows Update,Seeker on demand,ms-settings:windowsupdate-seekerondemand,brand-windows
Windows Update,View update history,ms-settings:windowsupdate-history,brand-windows
